,style,symbol,longName,peratio,type,L.Year,Today,inverse_risk_score,analysis_score,market,trend,5_day,10_day,21_day,42_day,63_day,126_day,189_day,251_day,MA_60,Max60,Min60,fluctuation_60,volatility_30,volatility_60,volatility_90,volume_score,Composite Score,category,overlap,rank_metric,overlap_rounded
20,consistent-growth,VTI,Vanguard Total Stock Market Index Fund ETF Shares,24.47,Exchange Traded Fund,193.4142608642578,260.1400146484375,0.4086636697997548,0.4,close to overbought,up,2.534392717833176,2.2442409059581667,3.2998501993252396,7.932955786675016,11.405185066110441,22.031060394957915,20.98469990485741,34.49888001330431,0.9449629164639123,260.1400146484375,232.77000427246094,1.0,0.24232149182425514,0.22526380482128006,0.3151828351325441,69.63968854369284,9.465877979361386,NSPCG,0.9975557592422855,5.6805044839199175,0.99
21,consistent-growth,SCHB,Schwab U.S. Broad Market ETF,18.11,Exchange Traded Fund,45.21275329589844,60.84000015258789,0.5521811154058531,0.4,close to overbought,up,2.484593422105792,2.1928593076907794,3.317383295506922,7.921441014954804,11.408500674192654,22.0380924251305,21.041841475424366,34.56380272711043,0.9451396833997739,60.84000015258789,54.440364837646484,1.0,0.24640913693758718,0.22799011967323357,0.3167775225786367,62.198270029445304,9.290886951671121,NSPCG,1.0,5.574532171002672,1.0
22,consistent-growth,ESGU,iShares ESG Aware MSCI USA ETF,19.78,Exchange Traded Fund,85.84769439697266,114.80999755859375,0.5055611729019212,0.4,close to overbought,up,2.280621433045657,2.107786433411482,2.8210583854326807,7.469807723263876,11.196123543432202,21.64865048389861,20.495405666937977,33.73684449543286,0.9480954268199218,114.80999755859375,102.91000366210938,1.0,0.2102889824036313,0.22363099560597569,0.30759995496262116,62.68009403451302,9.07905224817978,NSPCG,0.864259725720683,5.501727458619595,0.86
23,consistent-growth,ACWI,iShares MSCI ACWI ETF,15.9,Exchange Traded Fund,86.14311981201172,109.9800033569336,0.6289308176100629,0.4,close to overbought,up,2.0033423003367563,1.7673763926186543,3.0450668956986098,7.781264572879895,10.222494189640233,18.97298770836038,17.00452391875128,27.671256389297945,0.9492649880750537,109.9800033569336,99.79000091552734,1.0,0.25249515595394223,0.2162335148321272,0.2981617071098147,70.33940374861761,8.280815497499239,NSPCG,0.9642857142857143,4.9827750127852575,0.96
24,consistent-growth,MOAT,VanEck Morningstar Wide Moat ETF,24.03,Exchange Traded Fund,70.0112533569336,89.16000366210938,0.4161464835622139,0.4,close to overbought,up,2.1774025663128227,1.4911840759726176,3.361930737375745,5.702436603438718,7.034814400559501,17.577791136677472,14.523433470624362,27.350960577081825,0.9589277361053351,89.16000366210938,82.58000183105469,1.0,0.2711271706203904,0.12797297381458655,0.28265355562933664,63.01307759789907,7.479326259667012,NSPCG,0.04855129209083791,4.868175238963872,0.04
25,consistent-growth,QUAL,iShares MSCI USA Quality Factor ETF,24.4,Exchange Traded Fund,118.51797485351562,165.44000244140625,0.4098360655737705,0.4,close to overbought,up,2.4523202988863106,2.3699039766041343,3.3612426370574084,9.5629155241101,13.685464799400906,25.890508698729107,25.43579209147579,39.59064238642681,0.9368135528001685,165.44000244140625,144.6199951171875,1.0,0.22575665146698293,0.26452143308138665,0.3124630789287433,65.72462341704373,10.632050205919272,QUAL,0.001,6.778830123551564,0.0
26,consistent-growth,SPHQ,Invesco S&P 500 Quality ETF,15.53,Exchange Traded Fund,44.92285919189453,60.47999954223633,0.6439150032195751,0.4,close to overbought,up,2.586714721088083,2.586714721088083,3.8150951614586694,8.842008559641446,13.567188577487329,21.439012020911647,23.247619406689175,34.630788489858155,0.9366551191339174,60.47999954223633,52.985755920410156,1.0,0.2499984294588513,0.27399508062319716,0.31381152526621214,62.435948737382695,9.677805460348193,QUAL,0.5365853658536585,5.9920491298674525,0.53
27,aggressive-growth,SMH,VanEck Semiconductor ETF,20.35,Exchange Traded Fund,128.5799560546875,226.30999755859375,0.49140049140049136,0.5,neutral,up,3.888175432928921,0.586689200943103,7.802603465103723,19.73440777514481,33.84787976565287,61.74632283979107,51.70182452936892,76.00721333451055,0.871771766962983,234.1699981689453,164.99000549316406,0.8863833269369048,0.21764863346949478,0.236012961756808,0.2616563385241302,74.72503836306356,20.199702896401046,SECTR,0.001,12.519421737840627,0.0
28,aggressive-growth,SOXX,iShares Semiconductor ETF,20.34,Exchange Traded Fund,142.694580078125,225.17999267578125,0.4916420845624386,0.5,neutral,up,2.934722220769071,-1.2931276657564768,4.993701400717982,11.254940447748975,22.209955823574205,48.604188255921834,39.20743974324713,57.8055680548593,0.9126326374472389,237.75,179.61666870117188,0.7837728022224637,0.17908963205236553,0.15793879957041526,0.228177734773681,69.74794182933793,15.2073410902189,SECTR,0.7876210416121434,9.209356237486482,0.78
29,aggressive-growth,IGV,iShares Expanded Tech-Software Sector ETF,48.06,Exchange Traded Fund,57.976234436035156,86.55999755859375,0.20807324178110695,0.5,neutral,up,3.590234666888719,1.919224358366844,2.7686764737319036,2.3143663788637214,7.857552182459028,27.297856054674746,27.47032635531974,49.302551986357265,0.9715311403171676,88.4020004272461,77.31199645996094,0.8339042191431003,0.007832825459893585,0.08040419043666705,0.1799543095962418,70.5846491167599,10.930391391422349,SECTR,0.09222474460839954,6.9213449370100495,0.09
30,aggressive-growth,XLK,Technology Select Sector SPDR Fund,23.77,Exchange Traded Fund,144.40846252441406,209.83999633789062,0.4206983592763988,0.5,neutral,up,2.21587695688798,1.3679812614717428,2.146331557394127,4.124897111723247,10.816956385800808,28.398297742024635,23.812437410997912,45.3100411635603,0.9568331983961109,210.672119140625,183.8164520263672,0.9690150015937382,0.0802744913321023,0.133071746247669,0.19518384481853948,73.76619899419731,10.67001604259161,SECTR,0.22478909798831928,6.712093986359639,0.22
31,consistent-growth,SPY,SPDR S&P 500 ETF Trust,26.33,Exchange Traded Fund,387.5577392578125,522.2000122070312,0.379794910748196,0.4,close to overbought,up,2.4263040544030927,2.3650667862001087,3.2162560453451934,8.035826973218288,11.865739538873711,21.91897457089725,20.91394433723751,34.74121642031036,0.9441909900485737,522.2000122070312,465.8326416015625,1.0,0.23977904608117365,0.2478700196479165,0.32219664686160715,87.15855521365592,9.9441489221881,STBL,0.001,6.36608935331286,0.0
32,consistent-growth,VOO,Vanguard S&P 500 ETF,26.25,Exchange Traded Fund,356.8989562988281,481.3500061035156,0.380952380952381,0.4,close to overbought,up,2.412713793807375,2.329979615589727,3.167798732726143,8.018044831433556,11.918438048336682,21.92914232812499,20.97645086394948,34.87010752154899,0.9443232487009187,481.3500061035156,429.42999267578125,1.0,0.2367129676901435,0.24662663934614565,0.32086281467240296,71.46909107531162,9.5625915257852,STBL,0.9807235278584634,5.745265504327734,0.98
33,consistent-growth,IVV,iShares Core S&P 500 ETF,26.32,Exchange Traded Fund,390.2420349121094,524.6199951171875,0.37993920972644374,0.4,close to overbought,up,2.219280845213801,2.0085977816379934,2.8565841923189637,7.671785081686696,11.588033090416518,21.54826949734306,20.589844574240267,34.434517090231665,0.9472430926216824,524.6699829101562,469.55999755859375,0.99909294490554,0.22273929715023266,0.24004572752558367,0.3152591269869828,71.79396798115,9.388993222269352,STBL,0.996314819689392,5.634870005485855,0.99
34,consistent-growth,DGRW,WisdomTree U.S. Quality Dividend Growth Fund,19.64,Exchange Traded Fund,59.0362434387207,76.30000305175781,0.5091649694501018,0.4,close to overbought,up,2.3062499040955053,2.4711307949355823,3.108112232105152,6.478726760334244,10.535996228811241,19.503837949410034,17.77171929643579,29.242645885754566,0.9499704806771676,76.30000305175781,69.48001861572266,1.0,0.27683489522211674,0.2650712998501315,0.3263876194484502,60.99838608829292,8.27511539863124,YIELD,0.001,5.364669239178744,0.0
35,socially-responsible,VYM,Vanguard High Dividend Yield Index Fund ETF Shares,16.39,Exchange Traded Fund,97.73705291748047,119.69000244140625,0.6101281269066504,0.2,overbought,up,2.3691449844691053,2.5833157162751474,4.38942398866143,7.331024020777656,9.848507446069718,15.817872501774033,17.1700314942846,22.46123539499466,0.9472874302035882,119.69000244140625,109.36687469482422,1.0,0.41548836315000837,0.2572345707722653,0.33459808313538286,65.26792476159294,7.64399300381485,YIELD,0.48983799705449194,4.790460603467113,0.48
36,consistent-growth,VIG,Vanguard Dividend Appreciation Index Fund ETF Shares,25.76,Exchange Traded Fund,145.8429412841797,182.97999572753906,0.3881987577639751,0.4,close to overbought,up,2.1264707247477768,2.3034748424064664,2.6478185606149123,5.848325849432722,9.069886337642153,16.77639164367191,15.979747269318647,25.46373113183217,0.9556008185164439,182.97999572753906,168.47000122070312,1.0,0.27468233678453363,0.2508963306495057,0.32651866666173823,64.24785115230375,7.553965774721698,YIELD,0.5320067130184608,4.719576779625634,0.53
37,,CASH,Unallocated Cash,,,,,,,,,,,,,,,,,,,,,,,,,0.0,CASH,0.0,1.0,
