,,longName,L.Year,Today,1Y,30 day,7 day,MA_15,Max Up_15,Max Down_15,Avg Volume_15,vs_30,Composite Score,Trend,Analysis,Portfolio,Amount
TOLZ,0,ProShares DJ Brookfield Global Infrastructure ETF,42.99,45.7,6.3,1.16,6.01,0.97,0.99,0.95,6673.33,0.18,1.86,Uptrend,Bull,,
ARKG,0,ARK Genomic Revolution ETF,28.65,30.42,6.18,-0.52,7.61,1.02,1.08,0.99,2405333.33,0.06,1.85,Downtrend,Bear,,
UTES,0,Virtus Reaves Utilities ETF,43.67,46.62,6.76,1.58,4.9,0.96,0.99,0.93,4000.0,0.31,1.75,Uptrend,Bull,,
BBH,0,VanEck Biotech ETF,152.6,164.87,8.04,0.81,5.24,1.0,1.01,0.98,6146.67,-0.01,1.61,Uptrend,Bear,,
PICK,0,iShares MSCI Global Metals & Mining Producers ETF,40.58,40.52,-0.15,0.76,4.44,0.98,0.99,0.97,143060.0,0.02,1.44,Uptrend,Bull,,
PJP,0,Invesco Pharmaceuticals ETF,73.51,77.81,5.85,-1.31,5.36,1.0,1.01,0.98,28826.67,0.08,1.23,Uptrend,Bear,,
GNR,0,SPDR S&P Global Natural Resources ETF,54.95,55.02,0.13,-0.54,4.38,0.97,0.99,0.95,377120.0,0.14,1.19,Uptrend,Bull,,
COPX,0,Global X Copper Miners ETF,35.63,38.02,6.72,-3.11,6.87,0.95,0.98,0.92,822913.33,0.1,1.15,Uptrend,Bull,,
FXH,0,First Trust Health Care AlphaDEX Fund,104.19,108.68,4.31,-1.13,4.09,0.98,1.0,0.96,31913.33,0.26,1.04,Uptrend,Bull,,
GII,0,SPDR S&P Global Infrastructure ETF,50.87,52.75,3.7,-1.49,3.33,0.98,0.99,0.95,16853.33,0.14,0.79,Uptrend,Bull,,
IGF,0,iShares Global Infrastructure ETF,44.79,46.36,3.5,-1.54,3.25,0.98,0.99,0.95,326800.0,0.13,0.76,Uptrend,Bull,,
IYZ,0,iShares U.S. Telecommunications ETF,21.84,21.81,-0.12,1.64,-0.79,1.01,1.02,1.0,817680.0,-0.2,0.54,Downtrend,Bear,,
FBT,0,First Trust NYSE Arca Biotechnology Index Fund,149.94,154.79,3.23,-1.99,2.59,0.98,1.0,0.95,35040.0,0.08,0.53,Uptrend,Bull,,
PUI,0,Invesco Dorsey Wright Utilities Momentum ETF,31.47,32.71,3.95,-1.66,1.63,0.96,1.0,0.93,11340.0,0.26,0.43,Uptrend,Bull,,
